target,Componente,weight,se,z
French.DG,Steppe,0.8256025965651823,0.11153249516304611,7.402350277901143
French.DG,ANF,0.3791192355494279,0.06192542382595348,6.122190404622402
French.DG,WHG,-0.2047218321146102,0.09622488610001234,-2.127535198138145
GBR.DG,Steppe,0.8109338544558397,0.09465679011588682,8.567096491049677
GBR.DG,ANF,0.2942321310535195,0.055647898121995554,5.287389838309462
GBR.DG,WHG,-0.10516598550935916,0.08026220023640993,-1.3102803710787378
IBS.DG,ANF,0.6936430575528494,0.06004074760662618,11.552871761315277
IBS.DG,Steppe,0.5710776144376726,0.10297263386819533,5.5459163564627305
IBS.DG,WHG,-0.264720671990522,0.08957929593731727,-2.955154639480078
Italian_North.DG,Steppe,0.7260029615928466,0.11501894207851619,6.312029553334355
Italian_North.DG,ANF,0.5532611114246966,0.066665509441128007,8.299060729645797
Italian_North.DG,WHG,-0.2792640730175431,0.09950621260669501,-2.8064988677777647
Orcadian.DG,Steppe,0.8915635596085928,0.13438299654115748,6.634496793167829
Orcadian.DG,ANF,0.2804646529206682,0.06988412715517987,4.013281188987132
Orcadian.DG,WHG,-0.17202821252926098,0.1128402730482616,-1.524528502830588
Russian.DG,Steppe,1.820921455799696,0.2534316411596816,7.185059637649485
Russian.DG,ANF,-0.3496059637390056,0.12732722794036733,-2.7457282263518743
Russian.DG,WHG,-0.4713154920606904,0.2321495405513714,-2.030223669369679
Sardinian.DG,ANF,0.780341619113456,0.055528593026123764,14.052969408865438
Sardinian.DG,Steppe,0.43862691937986925,0.09951114016586514,4.407817241856199
Sardinian.DG,WHG,-0.2189685384933252,0.08733201951989089,-2.5073110606752036
TSI.DG,Steppe,0.6447151480784681,0.10393515661891889,6.203051681947562
TSI.DG,ANF,0.6209457690798809,0.0582087531431999,10.667566913042895
TSI.DG,WHG,-0.26566091715834905,0.08765532201360668,-3.030744865863486
