model,target,left,weight,se,z
2way_ANF+WHG,GBR.DG,Turkey_Marmara_Barcin_N.AG,0.2566243774047282,0.12245888938231048,2.0955961523018543
2way_ANF+WHG,GBR.DG,Luxembourg_Mesolithic.DG,0.7433756225952718,0.12245888938231059,6.070409639879143
2way_ANF+WHG,French.DG,Turkey_Marmara_Barcin_N.AG,0.31530307524494045,0.13853694458994062,2.2759493951466507
2way_ANF+WHG,French.DG,Luxembourg_Mesolithic.DG,0.6846969247550596,0.1385369445899406,4.942341747045983
2way_ANF+WHG,IBS.DG,Turkey_Marmara_Barcin_N.AG,0.7006363433220734,0.11647459985585953,6.015357375677871
2way_ANF+WHG,IBS.DG,Luxembourg_Mesolithic.DG,0.2993636566779266,0.11647459985585944,2.5702054958625955
2way_ANF+WHG,TSI.DG,Turkey_Marmara_Barcin_N.AG,0.5001119382530324,0.1627876870563984,3.072173008267921
2way_ANF+WHG,TSI.DG,Luxembourg_Mesolithic.DG,0.49988806174696765,0.1627876870563983,3.0707977414396206
2way_ANF+WHG,Italian_North.DG,Turkey_Marmara_Barcin_N.AG,0.4743950403022309,0.16719656580901712,2.8373491884044797
2way_ANF+WHG,Italian_North.DG,Luxembourg_Mesolithic.DG,0.5256049596977691,0.1671965658090173,3.143634901557422
2way_ANF+WHG,Sardinian.DG,Turkey_Marmara_Barcin_N.AG,0.8748225773252363,0.08281972635339599,10.562973531116533
2way_ANF+WHG,Sardinian.DG,Luxembourg_Mesolithic.DG,0.12517742267476376,0.08281972635339603,1.5114445336443791
